Volatility_Type,Volatility_Used,Strike,Maturity_Days,Type,delta,gamma,vega,theta,rho
Historical,0.1439212048131318,1989.929,60,Call,0.2663615147724324,0.00296958231712519,2.5233348533715674,-0.3894281505654479,0.8011722187256477
Historical,0.1439212048131318,1989.929,60,Put,-0.7336384852275676,0.00296958231712519,2.5233348533715674,-0.0388235047308233,-2.435178358209348
Historical,0.1439212048131318,1989.929,90,Call,0.33625383833364164,0.002693778039556253,3.4334646872356775,-0.3828414233702011,1.499739904585081
Historical,0.1439212048131318,1989.929,90,Put,-0.6637461616663584,0.002693778039556253,3.4334646872356775,-0.03410487627889804,-3.328919978217576
Implied,0.16877246497191278,1800.411,30,Call,0.8838994374149459,0.002131110288074322,1.06177441309491,-0.5774475287815388,1.286694094821456
Implied,0.16877246497191278,1800.411,30,Put,-0.11610056258505408,0.002131110288074322,1.06177441309491,-0.2585347318021434,-0.18521112200652257
Implied,0.16877246497191278,1800.411,60,Call,0.8263829717503365,0.001977757009722348,1.9707396656038818,-0.533566490055411,2.36671689911233
Implied,0.16877246497191278,1800.411,60,Put,-0.17361702824966352,0.001977757009722348,1.9707396656038818,-0.21635293067125097,-0.5614082644337625
Implied,0.16877246497191278,1800.411,90,Call,0.8009993080399135,0.0017573770936636021,2.626712530064097,-0.4913818110342199,3.3936193183851424
Implied,0.16877246497191278,1800.411,90,Put,-0.19900069196008652,0.0017573770936636021,2.626712530064097,-0.17585843533327775,-0.9751658836279015
Implied,0.16877246497191278,1857.267,30,Call,0.7095733196905494,0.003735486984770881,1.8611164908141324,-0.751422995132229,1.0519121486519998
Implied,0.16877246497191278,1857.267,30,Put,-0.2904266803094506,0.003735486984770881,1.8611164908141324,-0.42243910550506575,-0.46647503424259945
Implied,0.16877246497191278,1857.267,60,Call,0.6863755521021212,0.0027341706909110694,2.7244694907522886,-0.5997164063300731,1.99880196846963
Implied,0.16877246497191278,1857.267,60,Put,-0.3136244478978788,0.0027341706909110694,2.7244694907522886,-0.2724854152970585,-1.0217917949120423
Implied,0.16877246497191278,1857.267,90,Call,0.6823243679045609,0.002244681783848934,3.355076032856989,-0.5267591355814399,2.937861475485627
Implied,0.16877246497191278,1857.267,90,Put,-0.31767563209543914,0.002244681783848934,3.355076032856989,-0.20127170331294034,-1.5688875866935974
Implied,0.16877246497191278,1895.17,30,Call,0.553538792415877,0.004311333210939796,2.148018014515141,-0.7835922430618386,0.8279157747946835
Implied,0.16877246497191278,1895.17,30,Put,-0.446461207584123,0.004311333210939796,2.148018014515141,-0.44789446880282735,-0.7214585679392147
Implied,0.16877246497191278,1895.17,60,Call,0.5754878072917183,0.003021078965252539,3.010359776492736,-0.6065457225887158,1.6906848244267954
Implied,0.16877246497191278,1895.17,60,Put,-0.42451219270828167,0.003021078965252539,3.010359776492736,-0.2726366199793235,-1.3915530458137484
Implied,0.16877246497191278,1895.17,90,Call,0.5921762082125246,0.0024444543589379124,3.6536716661114634,-0.5283566880449485,2.5723297322556933
Implied,0.16877246497191278,1895.17,90,Put,-0.4078237917874754,0.0024444543589379124,3.6536716661114634,-0.19622672664882593,-2.0263928101521573
Implied,0.16877246497191278,1933.073,30,Call,0.3917903609769693,0.004189531221088392,2.0873331043948276,-0.7149738091337171,0.5899994787233865
Implied,0.16877246497191278,1933.073,30,Put,-0.6082096390230307,0.004189531221088392,2.0873331043948276,-0.3725621502428579,-0.9903620238498099
Implied,0.16877246497191278,1933.073,60,Call,0.4605575201565598,0.00306126966659985,3.050407875902433,-0.5766670856009115,1.3628895871946431
Implied,0.16877246497191278,1933.073,60,Put,-0.5394424798434402,0.00306126966659985,3.050407875902433,-0.2360798714151416,-1.7809923899047724
Implied,0.16877246497191278,1933.073,90,Call,0.49874671595447156,0.002511790038962689,3.7543168122666026,-0.5096640418057473,2.1828459427585893
Implied,0.16877246497191278,1933.073,90,Put,-0.5012532840455284,0.002511790038962689,3.7543168122666026,-0.17089155128200173,-2.507850079877887
Implied,0.16877246497191278,1989.929,30,Call,0.19112448491084472,0.0029700490707064413,1.479755471389492,-0.47905833721883484,0.2899463374555502
Implied,0.16877246497191278,1989.929,30,Put,-0.8088755150891553,0.0029700490707064413,1.479755471389492,-0.12657558568020766,-1.3368971311842675
Implied,0.16877246497191278,1989.929,60,Call,0.30060546546067524,0.0026835658519887935,2.6740442045086446,-0.4732859738427285,0.8972164367114819
Implied,0.16877246497191278,1989.929,60,Put,-0.6993945345393248,0.0026835658519887935,2.6740442045086446,-0.12268132800810397,-2.3391341402235137
Implied,0.16877246497191278,1989.929,90,Call,0.3635316992272538,0.002363368780204776,3.532474851589538,-0.447191253711773,1.6058443732856404
Implied,0.16877246497191278,1989.929,90,Put,-0.6364683007727462,0.002363368780204776,3.532474851589538,-0.09845470662046993,-3.222815509517017
